title,month,year,social,aspect,opinion,review,country,polarity
Unreliable Equipment,Oct,2023,facebook,Reliability equipment,Escalators constantly breaking down,"The escalators were constantly breaking down, forcing people to use the stairs. It was very inconvenient and frustrating.",Canada,Negative
Uncleanliness,Feb,2021,google review,Cleaniness,Toilets and floors were filthy,The toilets were filthy and the floors were sticky. I wouldn't want to eat anything near this station.,UK,Negative
Safety Concerns,May,2019,twitter,Safety,Feeling unsafe due to overcrowding and lack of security,"There were too many people pushing and shoving on the platform, making me feel unsafe. I'm not sure if there was enough security around.",Australia,Negative
Pricey,Dec,2022,google review,Price,Ticket prices were too high,"The ticket prices were much higher than I expected, even for a short journey.  It felt like they were taking advantage of tourists.",Germany,Negative
Poor Customer Service,Jul,2020,tiktok,Satisfactions,Unhelpful and rude staff,"I lost my ticket and needed help, but the staff were unhelpful and rude. They didn't seem to care about my problem.",USA,Negative
Delayed Trains,Sep,2018,facebook,Puncuality,Train was delayed with no explanation,My train was delayed for over an hour with no explanation. It was very frustrating and caused me to miss my meeting.,France,Negative
Dirty Station,Nov,2024,google review,Cleaniness,Station was littered and smelled bad,The station was littered with trash and there was a bad smell in the air. It wasn't a pleasant experience.,Japan,Negative
Insufficient Information,Jun,2017,twitter,Data availability,Lack of information about schedules and platforms,I couldn't find any information about train schedules or platform numbers. It was very confusing and disorganized.,Italy,Negative
Difficult Payment System,Mar,2016,facebook,User-friendly payment system,Difficult to use ticket machine,The ticket machine was difficult to use and I couldn't figure out how to pay. It took me a long time to get my ticket.,Netherlands,Negative
Poorly Maintained Facilities,Jan,2015,google review,Maintenance,Old and run-down facilities,The station's infrastructure felt old and run-down. The benches were broken and the lighting was dim.,Brazil,Negative
Cleanliness Issues,Nov,2021,facebook,Cleanliness,"The station was not clean, particularly the toilets.","The station was quite dirty, especially the toilets. It's a shame because the rest of the station was okay.",Canada,Negative
Punctuality Problems,Apr,2023,google review,Punctuality,The train was delayed without explanation.,"My train was delayed by over an hour with no explanation. This is unacceptable, especially when travelling with young children.",UK,Negative
Friendly Staff,Jul,2022,instagram,Satisfactions,The staff were helpful and friendly.,The staff were friendly and helpful. They even helped me find my platform.,Australia,Neutral
Unreliable Equipment,Dec,2020,tiktok,Reliability equipment,The escalators were frequently out of service.,"The escalators were constantly breaking down, making it difficult to get to my platform. This happened several times during my trip.",USA,Negative
Pricey Tickets,Oct,2019,google review,Price,The ticket prices were expensive.,"The ticket prices were quite expensive, especially compared to other train lines in the city.",Germany,Negative
Safety Concerns,Feb,2024,facebook,Safety,The station felt unsafe at night due to lack of lighting and suspicious individuals.,"I felt unsafe at the station at night. There were some suspicious people hanging around, and it wasn't well lit.",France,Negative
User-Friendly Payment System,May,2018,twitter,User-friendly payment system,The ticket purchase process was easy and quick.,It was easy to purchase my ticket using the ticket machines. The process was straightforward and quick.,Japan,Neutral
Efficient Handling Complaints,Sep,2017,google review,Handling complaints,The staff efficiently resolved a luggage issue.,"I had a problem with my luggage, but the staff quickly resolved the issue. They were very helpful and understanding.",Italy,Neutral
Cleanliness and Maintenance,Jun,2016,facebook,Cleanliness,"The station was clean, but the restrooms needed improvement.","The station was clean and well-maintained, but the restrooms needed a bit more attention.",South Korea,Negative
Data Availability,Mar,2022,google review,Data availability,Finding information about train schedules and delays was difficult due to confusing website and announcements.,It was hard to find information about train schedules and delays. The website and announcements were confusing.,Netherlands,Negative
Poor Maintenance,Aug,2015,instagram,Maintenance,The station appeared run-down with peeling paint and broken signs.,"The station seemed run-down. The paint was peeling, and some of the signs were broken.",Spain,Negative
Accidents at Station,Jan,2014,twitter,Accidents,"There was a minor accident at the station, raising concerns about safety measures.","I witnessed a minor accident at the station. It was scary, and I hope they improve safety measures.",Sweden,Negative
Reliability of Equipment,Dec,2017,google review,Reliability equipment,"The air conditioning was malfunctioning, leading to discomfort in the station.","The air conditioning was not working properly, making the station uncomfortably hot. This made the wait for my train unpleasant.",Denmark,Negative
